# Charging session recorded by Car Stats Viewer v0.29.0.0019 (com.ixam97.carStatsViewer_dev)
#
# Vehicle brand and model: Polestar. Polestar (ihu_abl_car)
# Start timestamp: 1726568987018
# End timestamp: 1726570149937
# Charged Energy: 35192.72658362855
# Charged SoC: 0.0
# Outside Temperature: 15.0
# Lat: 61.883186
# Lon: 8.266954

Timestamp;Charging session id;energy delta; power;SoC;point marker type
1726568987126;84;0.0170;305600.0000;0.19;1
1726568992177;84;0.4860;458400.0313;0.19;
1726568997177;84;0.7903;611200.0000;0.19;
1726569002177;84;0.8286;573000.0000;0.19;
1726569007177;84;0.7916;649400.0000;0.19;
1726569012177;84;-4.1081;-6353650.0000;0.19;
1726569017177;84;-29.1184;-49071600.0000;0.19;
1726569022177;84;-121.7408;-118590400.0000;0.19;
1726569027177;84;-185.3839;-134577616.0000;0.19;
1726569032177;84;-182.5159;-133639504.0000;0.19;
1726569037177;84;-185.7477;-133940128.0000;0.19;
1726569042177;84;-189.4064;-133592800.0000;0.20;
1726569047177;84;-185.8786;-133763560.0000;0.20;
1726569052179;84;-182.4228;-133893888.0000;0.20;
1726569057177;84;-186.3441;-133897128.0000;0.20;
1726569062177;84;-189.9452;-134067000.0000;0.20;
1726569067177;84;-182.7503;-134153248.0000;0.21;
1726569072177;84;-186.2714;-134072752.0000;0.21;
1726569077177;84;-190.0806;-134120952.0000;0.21;
1726569082177;84;-186.3325;-134204112.0000;0.21;
1726569087177;84;-186.2158;-133843128.0000;0.22;
1726569092177;84;-185.9762;-133766328.0000;0.22;
1726569097177;84;-182.2617;-134253552.0000;0.22;
1726569102177;84;-185.9339;-133527016.0000;0.22;
1726569107177;84;-185.7834;-133648456.0000;0.22;
1726569112177;84;-185.7808;-133529872.0000;0.23;
1726569117177;84;-185.6915;-133691968.0000;0.23;
1726569122177;84;-189.4133;-133450048.0000;0.23;
1726569127177;84;-182.1173;-133816344.0000;0.23;
1726569132177;84;-189.4195;-133655200.0000;0.24;
1726569137177;84;-185.6784;-133981248.0000;0.24;
1726569142177;84;-181.9797;-134103128.0000;0.24;
1726569147177;84;-189.3740;-133819816.0000;0.24;
1726569152177;84;-181.9852;-133658048.0000;0.24;
1726569157177;84;-189.3340;-133861424.0000;0.25;
1726569162177;84;-185.8417;-133903800.0000;0.25;
1726569167177;84;-185.8195;-133985248.0000;0.25;
1726569172195;84;-182.0690;-133863752.0000;0.25;
1726569177195;84;-189.4866;-134068184.0000;0.26;
1726569182196;84;-182.1039;-133863752.0000;0.26;
1726569187195;84;-189.4658;-133497608.0000;0.26;
1726569192195;84;-182.0947;-133865168.0000;0.26;
1726569197195;84;-189.4468;-133946832.0000;0.26;
1726569202195;84;-185.7807;-133416112.0000;0.27;
1726569207195;84;-185.6190;-133538640.0000;0.27;
1726569212195;84;-182.0038;-133824752.0000;0.27;
1726569217195;84;-185.7440;-133252184.0000;0.27;
1726569222195;84;-185.6548;-133702096.0000;0.27;
1726569227195;84;-185.7134;-133333640.0000;0.28;
1726569232195;84;-189.5521;-133537952.0000;0.28;
1726569237195;84;-185.7562;-133661048.0000;0.28;
1726569242195;84;-185.9709;-133824360.0000;0.28;
1726569247195;84;-185.0677;-133824000.0000;0.29;
1726569252195;84;-185.9225;-133701424.0000;0.29;
1726569257195;84;-182.2167;-133782528.0000;0.29;
1726569262195;84;-185.8938;-133413312.0000;0.29;
1726569267195;84;-189.6489;-133618440.0000;0.29;
1726569272195;84;-181.1698;-129187720.0000;0.30;
1726569277196;84;-185.8326;-132714640.0000;0.30;
1726569282195;84;-185.8543;-134520304.0000;0.30;
1726569287195;84;-182.1441;-134109296.0000;0.30;
1726569292196;84;-189.5893;-133821608.0000;0.31;
1726569297196;84;-182.1218;-133985248.0000;0.31;
1726569302196;84;-189.6920;-133738496.0000;0.31;
1726569307196;84;-182.3913;-133943248.0000;0.31;
1726569312195;84;-189.5989;-133532872.0000;0.31;
1726569317195;84;-182.2319;-133942264.0000;0.32;
1726569322195;84;-185.9767;-133530512.0000;0.32;
1726569327195;84;-187.8309;-128922944.0000;0.32;
1726569332196;84;-181.0684;-131018848.0000;0.32;
1726569337195;84;-179.9402;-132868168.0000;0.33;
1726569342195;84;-189.0629;-133610232.0000;0.33;
1726569347195;84;-182.1688;-133733888.0000;0.33;
1726569352195;84;-186.0054;-134187376.0000;0.33;
1726569357195;84;-189.9512;-133940016.0000;0.33;
1726569362195;84;-182.3770;-134019936.0000;0.34;
1726569367195;84;-185.8754;-133153160.0000;0.34;
1726569372195;84;-185.9328;-134018496.0000;0.34;
1726569377195;84;-185.9746;-134059800.0000;0.34;
1726569382195;84;-189.3416;-133479752.0000;0.34;
1726569387195;84;-185.6013;-133893000.0000;0.35;
1726569392195;84;-179.9341;-125895008.0000;0.35;
1726569397195;84;-175.6430;-127539752.0000;0.35;
1726569402195;84;-176.6450;-127410496.0000;0.35;
1726569407196;84;-180.8040;-127782192.0000;0.36;
1726569412195;84;-174.5705;-129264592.0000;0.36;
1726569417195;84;-180.9806;-130211152.0000;0.36;
1726569422195;84;-180.3512;-129963048.0000;0.36;
1726569427195;84;-184.0810;-130169800.0000;0.36;
1726569432195;84;-168.7048;-116737504.0000;0.37;
1726569437195;84;-163.6203;-118417968.0000;0.37;
1726569442195;84;-161.8401;-119160928.0000;0.37;
1726569447195;84;-166.3948;-120100400.0000;0.37;
1726569452195;84;-166.9809;-120348192.0000;0.37;
1726569457195;84;-171.1707;-120958280.0000;0.38;
1726569462197;84;-164.9888;-121206216.0000;0.38;
1726569467195;84;-168.7623;-121619472.0000;0.38;
1726569472195;84;-169.1545;-121941152.0000;0.38;
1726569477195;84;-173.0992;-122230600.0000;0.38;
1726569482195;84;-166.5923;-122552760.0000;0.39;
1726569487195;84;-173.6523;-122552760.0000;0.39;
1726569492195;84;-167.2205;-122800992.0000;0.39;
1726569497195;84;-171.0152;-122916592.0000;0.39;
1726569502195;84;-174.6732;-123165000.0000;0.39;
1726569507195;84;-162.2933;-116553384.0000;0.40;
1726569512195;84;-162.6996;-117546376.0000;0.40;
1726569517195;84;-167.2808;-118321192.0000;0.40;
1726569522195;84;-161.5558;-119066408.0000;0.40;
1726569527195;84;-169.0396;-119676824.0000;0.40;
1726569532195;84;-162.6702;-119386848.0000;0.41;
1726569537195;84;-165.6913;-119055448.0000;0.41;
1726569542195;84;-168.6264;-119096872.0000;0.41;
1726569547195;84;-162.0995;-119251656.0000;0.41;
1726569552195;84;-159.9871;-113187592.0000;0.41;
1726569557195;84;-158.0255;-114415848.0000;0.42;
1726569562195;84;-156.2178;-115037224.0000;0.42;
1726569567195;84;-160.4147;-116018544.0000;0.42;
1726569572195;84;-161.4691;-116544752.0000;0.42;
1726569577195;84;-165.6430;-117042456.0000;0.42;
1726569582195;84;-157.2979;-110314776.0000;0.43;
1726569587195;84;-151.1830;-111541952.0000;0.43;
1726569592195;84;-158.7952;-112438728.0000;0.43;
1726569597195;84;-156.7185;-112853480.0000;0.43;
1726569602195;84;-154.4104;-113917504.0000;0.43;
1726569607195;84;-158.1933;-113876000.0000;0.43;
1726569612195;84;-161.9704;-114567472.0000;0.44;
1726569617195;84;-159.3763;-114927304.0000;0.44;
1726569622195;84;-159.4713;-114636448.0000;0.44;
1726569627195;84;-153.2396;-110871752.0000;0.44;
1726569632195;84;-151.7743;-108546344.0000;0.44;
1726569637195;84;-148.8663;-106613504.0000;0.45;
1726569642195;84;-147.2832;-105534496.0000;0.45;
1726569647195;84;-146.4068;-105161000.0000;0.45;
1726569652195;84;-145.7874;-104850624.0000;0.45;
1726569657195;84;-145.5070;-104850624.0000;0.45;
1726569662195;84;-145.5443;-104809096.0000;0.45;
1726569667195;84;-148.3652;-104726048.0000;0.46;
1726569672195;84;-145.6520;-104872192.0000;0.46;
1726569677195;84;-145.6996;-104872192.0000;0.46;2
1726569775237;84;-98.9255;-104747552.0000;0.46;1
1726569780233;84;-2899.0500;-98763072.0000;0.49;
1726569785252;84;-137.3935;-99222056.0000;0.50;
1726569790281;84;-137.8596;-99239752.0000;0.50;
1726569795280;84;-137.9510;-99239752.0000;0.50;
1726569800280;84;-138.0316;-99549832.0000;0.50;
1726569805280;84;-135.3588;-99400400.0000;0.50;
1726569810280;84;-138.1602;-99484000.0000;0.50;
1726569815280;84;-141.3096;-99836272.0000;0.50;
1726569820288;84;-136.6995;-93423000.0000;0.51;
1726569825280;84;-130.2812;-94551600.0000;0.51;
1726569830280;84;-131.7691;-95277352.0000;0.51;
1726569835280;84;-132.1773;-95319168.0000;0.51;
1726569840280;84;-132.9029;-95669104.0000;0.51;
1726569845280;84;-133.4571;-96438128.0000;0.51;
1726569850280;84;-133.6575;-96061248.0000;0.52;
1726569855280;84;-133.7783;-96411904.0000;0.52;
1726569860280;84;-134.4719;-97182152.0000;0.52;
1726569865280;84;-134.5613;-96972520.0000;0.52;
1726569870280;84;-131.8502;-96736704.0000;0.52;
1726569875280;84;-137.1996;-97114248.0000;0.52;
1726569880281;84;-132.1007;-97214104.0000;0.52;
1726569885280;84;-133.4253;-94401776.0000;0.53;
1726569890281;84;-128.7751;-94821520.0000;0.53;
1726569895281;84;-134.3190;-95130000.0000;0.53;
1726569900284;84;-132.1790;-95102576.0000;0.53;
1726569905280;84;-132.2269;-95495552.0000;0.53;
1726569910281;84;-125.8512;-91824624.0000;0.53;
1726569915280;84;-127.7077;-92173600.0000;0.54;
1726569920280;84;-128.6873;-92901600.0000;0.54;
1726569925280;84;-131.7082;-93238200.0000;0.54;
1726569930280;84;-127.1113;-93546192.0000;0.54;
1726569935281;84;-129.5452;-93125192.0000;0.54;
1726569940281;84;-128.8302;-90683400.0000;0.54;
1726569945280;84;-124.0662;-91411248.0000;0.54;
1726569950281;84;-129.4270;-91507656.0000;0.55;
1726569955280;84;-124.7215;-91718408.0000;0.55;
1726569960280;84;-130.0825;-91730624.0000;0.55;
1726569965280;84;-126.1763;-90296680.0000;0.55;
1726569970280;84;-125.9043;-90730000.0000;0.55;
1726569975280;84;-123.0818;-90603400.0000;0.55;
1726569980280;84;-126.9786;-90023696.0000;0.55;
1726569985280;84;-122.1719;-89770352.0000;0.56;
1726569990281;84;-127.1573;-89781248.0000;0.56;
1726569995280;84;-120.9319;-86814600.0000;0.56;
1726570000280;84;-120.6412;-86654752.0000;0.56;
1726570005280;84;-118.4009;-87213328.0000;0.56;
1726570010280;84;-121.5218;-87434104.0000;0.56;
1726570015280;84;-123.8230;-87561000.0000;0.56;
1726570020280;84;-121.6894;-87782048.0000;0.57;
1726570025280;84;-118.2594;-84219304.0000;0.57;
1726570030280;84;-114.8316;-84607672.0000;0.57;
1726570035280;84;-120.2002;-85123504.0000;0.57;
1726570040281;84;-115.9741;-85631696.0000;0.57;
1726570045280;84;-121.1228;-85767000.0000;0.57;
1726570050280;84;-116.2249;-85512752.0000;0.57;
1726570055280;84;-120.9733;-85436000.0000;0.57;
1726570060284;84;-115.4105;-82207504.0000;0.58;
1726570065280;84;-114.4068;-82468000.0000;0.58;
1726570070280;84;-114.6611;-82601480.0000;0.58;
1726570075280;84;-112.5783;-82771176.0000;0.58;
