# Trip recorded by Car Stats Viewer v0.29.0.0019 (com.ixam97.carStatsViewer_dev)
#
# Vehicle brand and model: Polestar. Polestar (ihu_abl_car)
# Start timestamp: 1726563439239
# End timestamp: 1726664212681
# Trip type: 3
# Drive time: 31389914
# Used energy: 135915.16110147838
# Used SoC: 0.0
# Used Soc (Energy): 0.0
# Driven distance: 730146.7889205553
# Note:
# Last edited: 1726604529250

Timestamp;Energy delta;Distance delta;Point Marker Type;SoC;lat;lon;alt
1726563439996;0.2677;0.0000;1;0.42;62.115917;7.184157;15
1726563508651;102.8604;103.9328;;0.42;62.115658;7.184484;23
1726563535250;109.7212;100.3890;;0.42;62.116188;7.185013;37
1726563565650;33.2946;103.2964;;0.42;62.115738;7.186218;34
1726563575150;-28.4468;109.3922;;0.42;62.115036;7.187669;24
1726563582650;-24.6895;101.7991;;0.42;62.114655;7.188591;18
1726563589950;3.5380;105.9225;;0.42;62.113724;7.190449;11
1726563597251;5.7033;101.1491;;0.42;62.113121;7.190866;11
1726563604750;11.5176;104.4142;;0.42;62.111931;7.191702;10
1726563613049;23.1841;113.2720;;0.42;62.111351;7.192173;9
1726563620449;37.0396;102.5415;;0.42;62.110241;7.193292;12
1726563627849;64.5546;109.5920;;0.42;62.109657;7.193875;14
1726563634350;62.6158;109.9027;;0.41;62.109005;7.194353;17
1726563640650;11.9190;113.0995;;0.41;62.107716;7.196168;18
1726563646950;14.4799;113.6221;;0.41;62.107143;7.197401;17
1726563653250;12.6634;114.9137;;0.41;62.106571;7.198628;17
1726563659550;7.8438;110.9290;;0.41;62.105392;7.201008;17
1726563667050;-43.4442;105.7187;;0.41;62.104797;7.201784;15
1726563685850;-30.9919;100.1497;;0.41;62.103832;7.203175;16
1726563699650;4.1027;103.2508;;0.41;62.103123;7.204578;14
1726563711350;20.8803;101.8230;;0.41;62.102520;7.205626;13
1726563723150;70.4140;107.5623;;0.41;62.102005;7.207008;19
1726563734750;63.1228;106.9783;;0.41;62.100826;7.207390;28
1726563745350;92.7300;108.8768;;0.41;62.099964;7.206855;35
1726563754952;72.9410;109.2970;;0.41;62.098965;7.206303;43
1726563764450;70.8773;101.4956;;0.41;62.098564;7.206766;47
1726563779250;54.8710;109.0151;;0.41;62.097698;7.208265;57
1726563793949;58.9740;107.7179;;0.41;62.098518;7.207723;60
1726563804452;74.1583;102.5908;;0.41;62.097893;7.208560;68
1726563816051;48.1587;102.5772;;0.41;62.096783;7.209792;79
1726563832851;47.6299;100.2483;;0.41;62.096355;7.210766;83
1726563843349;54.8163;107.9187;;0.41;62.096184;7.212570;87
1726563853049;74.7793;111.6316;;0.40;62.096462;7.214550;93
1726563861449;73.3452;103.0911;;0.40;62.095901;7.216019;98
1726563871150;64.3735;105.0047;;0.40;62.095032;7.217004;107
1726563880649;81.2049;103.6935;;0.40;62.094479;7.218307;120
1726563890350;54.6585;100.6902;;0.40;62.093620;7.219007;123
1726563903151;85.6625;110.0325;;0.40;62.093407;7.219596;134
1726563918951;69.2781;106.7825;;0.40;62.094170;7.221064;146
1726563932951;58.9150;105.0794;;0.40;62.093327;7.220027;156
1726563943451;89.9225;102.3797;;0.40;62.093590;7.220893;160
1726563953051;71.9456;103.1009;;0.40;62.094406;7.221943;169
1726563962649;84.2329;108.6218;;0.39;62.095341;7.222442;178
1726563971149;63.1217;100.6844;;0.39;62.096317;7.222047;187
1726563984850;70.7354;100.7526;;0.39;62.096542;7.222115;197
